,basin_id,latitude,longitude,pax_strength,regions
310,1663,-33.3822,149.1314,102.181,Oceania
311,1667,-32.565,149.6094,8.633,Oceania
312,1670,-29.7594,153.03,19.212,Oceania
313,1680,-30.5281,151.6172,132.521,Oceania
314,1684,-16.8781,145.7489,4778.181,Oceania
315,1687,-24.9025,152.3208,153.671,Oceania
316,1691,-28.1644,153.5047,6484.937,Oceania
317,1694,46.9936,15.44,1036.929,Europe
318,1695,48.2333,14.1875,436.018,Europe
319,1696,46.6428,14.3378,209.434,Europe
320,1697,47.2603,11.3439,1144.541,Europe
321,1698,47.7933,13.0044,1717.991,Europe
322,1699,48.1103,16.5781,31661.727,Europe
323,1743,36.7131,28.7925,4858.379,Middle East
324,1746,38.2925,27.1569,23797.555,Middle East
325,1749,40.1281,32.995,13709.086,Middle East
326,1755,41.1389,27.9194,73.639,Middle East
327,1758,40.9769,28.8147,87569.83,Middle East
328,1760,40.2553,29.5625,269.783,Middle East
329,1767,39.81,30.5169,86.37,Middle East
330,1769,40.5622,43.115,516.661,Middle East
331,1774,37.2506,27.6644,8583.726,Middle East
332,1778,41.315,33.7961,63.445,Middle East
333,1788,60.1217,19.8975,51.597,Europe
334,1790,36.8511,10.2272,6441.886,Africa
335,1792,36.0756,10.4383,3040.723,Africa
336,1800,53.8064,86.8711,256.15,Europe / Asia
337,1818,55.5667,52.1,782.501,Europe / Asia
338,1821,61.6469,50.845,549.748,Europe / Asia
339,1822,68.7817,32.7508,1029.661,Europe / Asia
340,1826,53.5039,50.1517,5806.686,Europe / Asia
341,1836,56.23,43.7842,1114.056,Europe / Asia
342,1840,55.6061,49.2786,3470.742,Europe / Asia
343,1848,50.4253,127.4125,552.802,Europe / Asia
344,1849,56.7431,60.8028,6232.318,Europe / Asia
345,1855,59.8003,30.2625,37932.374,Europe / Asia
346,1861,54.5575,55.8839,6889.829,Europe / Asia
347,1873,55.27,86.1072,512.916,Europe / Asia
348,1877,57.0583,40.98,38.273,Europe / Asia
349,1880,57.5589,40.1578,39.079,Europe / Asia
350,1881,54.1258,45.2133,90.552,Europe / Asia
351,1890,55.4089,37.9064,152066.113,Europe / Asia
352,1895,54.89,20.5925,4591.083,Europe / Asia
353,1909,56.0903,47.3472,394.586,Europe / Asia
354,1911,46.2833,48.0064,672.456,Europe / Asia
355,1915,42.8169,47.6522,2875.656,Europe / Asia
356,1918,52.2681,104.3889,2433.794,Europe / Asia
357,1929,54.2683,48.2267,344.616,Europe / Asia
358,1933,13.0747,-59.4925,2298.491,North America
359,1939,-22.925,-42.0786,50.32,South America
360,1946,-29.9944,-51.1714,15868.124,South America
361,1947,-25.5286,-49.1758,6564.065,South America
362,1950,-11.4331,-61.4778,60.691,South America
363,1955,-29.1969,-51.1875,208.092,South America
364,1958,-21.59,-45.4739,9.558,South America
365,1961,-15.8711,-47.9186,16727.177,South America
366,1964,-22.1969,-49.9264,67.443,South America
367,1979,-29.7114,-53.6881,1.795,South America
368,1980,-3.7764,-38.5325,7218.697,South America
369,1981,-31.7183,-52.3297,31.77,South America
370,1990,-22.8125,-43.2483,23067.344,South America
371,1993,-21.6983,-41.3017,13.67,South America
372,1998,-21.1342,-47.7742,909.103,South America
373,1999,-22.1636,-49.0692,126.566,South America
374,2002,-5.9114,-35.2478,2319.506,South America
375,2011,-23.2281,-45.8628,38.401,South America
376,2014,-23.0081,-47.1347,10625.418,South America
377,2015,-7.27,-35.8964,138.523,South America
378,2020,-20.2581,-40.2864,3289.483,South America
